city name,postcode,latitude,longitude
ST JUVAT,22630,48.361860772, -2.054404661
LES CHAMPS GERAUX,22630,48.426009281, -1.977655255
ST ANDRE DES EAUX,22630,48.373142744, -2.013146235
LE QUIOU,22630,48.345721771, -1.997145194
TREFUMEL,22630,48.337331903, -2.023930455
ST JUDOCE,22630,48.362761989, -1.954058288
PLENEE JUGON,22640,48.355685105, -2.415212201
TRAMAIN,22640,48.399918388, -2.389069547
LA MALHOURE,22640,48.396390224, -2.494407859
PLESTAN,22640,48.414680231, -2.441318157
BEAUSSAIS SUR MER,22650,48.560466315, -2.136524705
BEAUSSAIS SUR MER,22650,48.560466315, -2.136524705
BEAUSSAIS SUR MER,22650,48.560466315, -2.136524705
TRELEVERN,22660,48.80139516, -3.369686834
TREVOU TREGUIGNEC,22660,48.811886933, -3.34490682
BINIC ETABLES SUR MER,22680,48.616851128, -2.837862888
PLEUDIHEN SUR RANCE,22690,48.509515077, -1.94126291
LA VICOMTE SUR RANCE,22690,48.487850282, -1.983393035
LOUANNEC,22700,48.783589414, -3.412307723
PERROS GUIREC,22700,48.812104419, -3.466956832
ST QUAY PERROS,22700,48.781532784, -3.449716642
PERROS GUIREC,22700,48.812104419, -3.466956832
PERROS GUIREC,22700,48.812104419, -3.466956832
PENVENAN,22710,48.816972706, -3.301924259
PENVENAN,22710,48.816972706, -3.301924259
PENVENAN,22710,48.816972706, -3.301924259
PLESIDY,22720,48.441570694, -3.126099759
ST PEVER,22720,48.482530838, -3.090727046
SENVEN LEHART,22720,48.435248163, -3.065250536
ST FIACRE,22720,48.45524135, -3.052648675
TREGASTEL,22730,48.817228001, -3.507325469
PLEUMEUR GAUTIER,22740,48.80046846, -3.151543243
LEZARDRIEUX,22740,48.803433025, -3.109066355
LEZARDRIEUX,22740,48.803433025, -3.109066355
PLEUDANIEL,22740,48.761963472, -3.154469571
ST JACUT DE LA MER,22750,48.591597419, -2.187270552
LANCIEUX,22770,48.600845234, -2.148315939
PLOUNERIN,22780,48.566496872, -3.548705022
LOGUIVY PLOUGRAS,22780,48.510493753, -3.491728034
PLOUGRAS,22780,48.496584203, -3.564564426
COHINIAC,22800,48.451473972, -2.946720821
LANFAINS,22800,48.36537327, -2.911495111
PLAINE HAUTE,22800,48.443303854, -2.859140189
ST BIHY,22800,48.375421403, -2.967114296
ST BRANDAN,22800,48.389900815, -2.86298438
ST GILDAS,22800,48.422520774, -3.006479202
LE LESLAY,22800,48.423988985, -2.965116606
QUINTIN,22800,48.40333741, -2.911691362
ST DONAN,22800,48.465810862, -2.886521009
LE VIEUX BOURG,22800,48.390679498, -3.003639078
LE FOEIL,22800,48.417427349, -2.91498171
PLOUGONVER,22810,48.485023131, -3.374817472
BELLE ISLE EN TERRE,22810,48.531064511, -3.381836707
PLOUNEVEZ MOEDEC,22810,48.551149025, -3.445164456
BELLE ISLE EN TERRE,22810,48.531064511, -3.381836707
LOC ENVEL,22810,48.509789897, -3.409769302
PLOUGRESCANT,22820,48.84000535, -3.239697939
PLOUASNE,22830,48.311805596, -2.007927734
PLOURIVO,22860,48.741509933, -3.091598736
ILE DE BREHAT,22870,48.858114867, -3.003513815
YVIAS,22930,48.714638904, -3.046277646
PLAINTEL,22940,48.410267274, -2.810348049
ST JULIEN,22940,48.447523116, -2.817899305
TREGUEUX,22950,48.480324646, -2.745100895
TREGUEUX,22950,48.480324646, -2.745100895
PLEDRAN,22960,48.443222941, -2.745103235
PLOUMAGOAR,22970,48.530550126, -3.109403481
COADOUT,22970,48.514938411, -3.178680872
ST MICHEL DE PLELAN,22980,48.462517893, -2.221916561
PLELAN LE PETIT,22980,48.426818936, -2.22411872
TREBEDAN,22980,48.40593828, -2.162915474
ST MAUDEZ,22980,48.454479579, -2.182541955
LA LANDEC,22980,48.42566669, -2.183105118
LANGUEDIAS,22980,48.393034923, -2.205716553
ST MELOIR DES BOIS,22980,48.442385045, -2.257028528
VILDE GUINGALAN,22980,48.436341144, -2.151586081
QUIMPER,29000,47.99710101, -4.091096788
LE JUCH,29100,48.055473067, -4.265144911
DOUARNENEZ,29100,48.080138679, -4.328017277
KERLAZ,29100,48.091448262, -4.263538123
POULLAN SUR MER,29100,48.077073132, -4.397638835
DOUARNENEZ,29100,48.080138679, -4.328017277
POULDERGAT,29100,48.04015448, -4.32653951
